District,Incumbent,Party,Biden,Trump,Total,Biden%,Trump%
IN-07,André Carson,(D),"177,925","99,811","283,006",62.90%,35.30%
IN-08,Larry Bucshon,(R),"108,025","212,185","326,153",33.10%,65.10%
IN-09,Trey Hollingsworth,(R),"135,586","221,516","364,279",37.20%,60.80%
KS-01,Tracey Mann,(R),"83,890","207,727","298,130",28.10%,69.70%
KS-02,Jake LaTurner,(R),"140,303","191,030","339,357",41.30%,56.30%
KS-03,Sharice Davids,(D),"223,114","179,583","411,239",54.30%,43.70%
KS-04,Ron Estes,(R),"123,016","193,066","323,577",38.00%,59.70%
KY-01,James Comer,(R),"85,228","244,122","334,095",25.50%,73.10%
KY-02,Brett Guthrie,(R),"111,859","246,865","365,139",30.60%,67.60%
KY-03,John Yarmuth,(D),"221,843","141,027","369,797",60.00%,38.10%
KY-04,Thomas Massie,(R),"129,335","250,481","386,856",33.40%,64.70%
KY-05,Hal Rogers,(R),"56,153","241,712","301,591",18.60%,80.10%
KY-06,Andy Barr,(R),"168,056","202,439","377,958",44.50%,53.60%
LA-01,Steve Scalise,(R),"118,270","266,928","392,488",30.10%,68.00%
LA-02,Troy Carter,(D),"260,587","79,570","345,901",75.30%,23.00%
LA-03,Clay Higgins,(R),"107,448","242,738","356,316",30.20%,68.10%
LA-04,Mike Johnson,(R),"121,500","201,823","328,304",37.00%,61.50%
LA-05,Julia Letlow,(R),"113,682","215,064","333,589",34.10%,64.50%
LA-06,Garret Graves,(R),"134,547","249,652","391,463",34.40%,63.80%
MA-01,Richard Neal,(D),"224,939","135,655","367,953",61.10%,36.90%
MA-02,Jim McGovern,(D),"240,547","140,377","389,490",61.80%,36.00%
MA-03,Lori Trahan,(D),"243,303","132,757","383,965",63.40%,34.60%
MA-04,Jake Auchincloss,(D),"276,820","144,654","429,320",64.50%,33.70%
MA-05,Katherine Clark,(D),"304,072","97,562","408,381",74.50%,23.90%
MA-06,Seth Moulton,(D),"279,782","159,252","446,903",62.60%,35.60%
MA-07,Ayanna Pressley,(D),"276,091","43,074","323,587",85.30%,13.30%
MA-08,Stephen Lynch,(D),"283,426","137,738","428,337",66.20%,32.20%
MA-09,Bill Keating,(D),"253,222","176,133","437,139",57.90%,40.30%
MD-01,Andy Harris,(R),"157,430","236,906","402,745",39.10%,58.80%
MD-02,Dutch Ruppersberger,(D),"225,433","110,901","342,575",65.80%,32.40%
MD-03,John Sarbanes,(D),"263,027","112,328","382,649",68.70%,29.40%
MD-04,Anthony Brown,(D),"286,724","69,533","362,454",79.10%,19.20%
MD-05,Steny Hoyer,(D),"276,896","119,771","403,689",68.60%,29.70%
MD-06,David Trone,(D),"227,214","140,735","375,037",60.60%,37.50%
MD-07,Kweisi Mfume,(D),"261,237","66,703","333,295",78.40%,20.00%
MD-08,Jamie Raskin,(D),"287,062","119,537","414,164",69.30%,28.90%
ME-01,Chellie Pingree,(D),"266,376","164,045","443,067",60.10%,37.00%
ME-02,Jared Golden,(D),"168,696","196,692","376,307",44.80%,52.30%
MI-01,Jack Bergman,(R),"171,402","244,455","422,411",40.60%,57.90%
MI-02,Bill Huizenga,(R),"177,044","225,408","409,870",43.20%,55.00%
MI-03,Peter Meijer,(R),"194,575","207,762","410,219",47.40%,50.60%
MI-04,John Moolenaar,(R),"141,708","234,124","382,259",37.10%,61.20%
MI-05,Dan Kildee,(D),"189,227","173,212","367,855",51.40%,47.10%
MI-06,Fred Upton,(R),"180,142","197,508","384,755",46.80%,51.30%
MI-07,Tim Walberg,(R),"163,293","224,274","394,301",41.40%,56.90%
MI-08,Elissa Slotkin,(D),"212,085","215,649","434,738",48.80%,49.60%
MI-09,Andy Levin,(D),"229,258","175,081","410,103",55.90%,42.70%
MI-10,Lisa McClain,(R),"146,887","273,877","426,468",34.40%,64.20%
MI-11,Haley Stevens,(D),"237,696","216,799","460,743",51.60%,47.10%
MI-12,Debbie Dingell,(D),"251,770","134,892","392,079",64.20%,34.40%
MI-13,Rashida Tlaib,(D),"229,535","58,162","291,132",78.80%,20.00%
MI-14,Brenda Lawrence,(D),"276,847","68,031","348,045",79.50%,19.50%
MN-01,Brad Finstad,(R),"164,139","202,121","374,203",43.90%,54.00%
MN-02,Angie Craig,(D),"226,589","197,005","432,792",52.40%,45.50%
MN-03,Dean Phillips,(D),"265,552","178,221","452,512",58.70%,39.40%
MN-04,Betty McCollum,(D),"273,197","123,295","404,458",67.50%,30.50%
MN-05,Ilhan Omar,(D),"328,766","72,323","409,330",80.30%,17.70%
MN-06,Tom Emmer,(R),"165,370","251,056","425,737",38.80%,59.00%
MN-07,Michelle Fischbach,(R),"126,528","234,753","368,161",34.40%,63.80%
